evidence,item,state
Gate 1-B1 / 2-A,XGBoost-C0 new15016,DONE
Gate 1-B3,M3-Merged and M3-DAU small invariant baselines,DONE_NEGATIVE
Gate 2-D1/D2,role-aware Morgan / frozen MoLFormer,NEGATIVE_OR_INCONCLUSIVE
Gate 2-E1 correction / E2A,fixed-weight physics multitask,BLOCKED_THEN_INCONCLUSIVE
Gate 2-F1,ground-state multifidelity/delta,NEGATIVE_OR_INCONCLUSIVE
roadmap gap,Chemprop v2 D-MPNN strong 2D,NOT_IMPLEMENTED
roadmap gap,PaiNN/TensorNet2 strong 3D,NOT_IMPLEMENTED
historical B2 is not this,formal EquiformerV3 molecular baseline on new15016,NOT_IMPLEMENTED
M3-DAU has no interface branch,explicit D/A interface cross-edge branch,NOT_IMPLEMENTED
no unified main model,ReMEI-Net,NOT_IMPLEMENTED
C1.5 concat is not gating,PM6 gating / FiLM,NOT_IMPLEMENTED
roadmap gap,A0-A10 parameter-matched ablation,NOT_IMPLEMENTED
roadmap gap,retrospective active-learning benchmark,NOT_IMPLEMENTED
roadmap gap,paper-grade model card and data card,NOT_IMPLEMENTED
